                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1016,                 1.7581,                0.96514,                0.58203,                0.47083,                0.47469,                 0.3471,                 0.9688,                 1.1857,                 0.8958,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.0617,                 1.2126,                0.96479,                0.62502,                0.52791,                0.56016,                0.39892,                 1.0144,                 1.0638,                0.92582,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.0694,                  1.151,                0.97338,                0.55677,                0.52005,                0.52546,                0.37249,                 0.9924,                 1.0778,                0.91359,             0.00051111,             0.00051111,             0.00051111
                      4,                  1.049,                  1.076,                0.95853,                0.70242,                0.54559,                0.59726,                 0.4473,                0.93014,                0.89428,                0.90028,             0.00048995,             0.00048995,             0.00048995
                      5,                  1.008,                0.98988,                 0.9538,                0.73625,                0.55471,                0.62441,                0.46149,                0.93818,                0.86267,                0.90332,             0.00046793,             0.00046793,             0.00046793
                      6,                0.98148,                0.92724,                 0.9438,                0.73433,                0.57493,                0.64603,                0.47993,                0.91654,                0.80005,                0.90053,             0.00044591,             0.00044591,             0.00044591
                      7,                0.94617,                0.84196,                0.93278,                0.77667,                0.57135,                0.65932,                0.48399,                0.90542,                0.76332,                0.89666,             0.00042389,             0.00042389,             0.00042389
                      8,                0.91613,                 0.8248,                0.92207,                0.76874,                0.60052,                0.67421,                0.51823,                0.83656,                0.72431,                0.87114,             0.00040188,             0.00040188,             0.00040188
                      9,                0.88324,                0.76872,                0.90806,                0.77748,                0.60729,                0.69069,                0.53275,                0.83165,                0.69121,                0.86713,             0.00037986,             0.00037986,             0.00037986
                     10,                0.88206,                0.74788,                0.90787,                0.83409,                0.60682,                0.71548,                0.54646,                0.81268,                0.65528,                0.86784,             0.00035784,             0.00035784,             0.00035784
                     11,                0.85277,                0.71365,                 0.8995,                0.79756,                0.63259,                0.72037,                0.55096,                 0.8194,                 0.6431,                0.86962,             0.00033582,             0.00033582,             0.00033582
                     12,                0.83825,                0.68286,                0.89695,                0.77905,                0.64017,                0.71722,                 0.5603,                0.77949,                0.64013,                0.85717,             0.00031381,             0.00031381,             0.00031381
                     13,                0.81637,                0.65874,                0.88929,                0.79151,                0.67075,                0.73543,                0.57582,                0.77679,                0.59338,                0.85746,             0.00029179,             0.00029179,             0.00029179
                     14,                0.79806,                0.63376,                0.88675,                0.83261,                0.65891,                 0.7496,                0.58932,                0.76014,                0.57305,                0.85649,             0.00026977,             0.00026977,             0.00026977
                     15,                 0.7836,                0.60142,                0.88292,                0.85072,                0.67577,                0.75901,                0.60385,                0.74469,                0.54904,                0.85179,             0.00024775,             0.00024775,             0.00024775
                     16,                0.74704,                0.55596,                0.85763,                0.82094,                0.65815,                0.74072,                0.58184,                0.75992,                0.58159,                0.85808,             0.00022574,             0.00022574,             0.00022574
                     17,                0.74026,                0.53465,                0.85517,                0.84214,                 0.6617,                0.75242,                0.58606,                0.76076,                 0.5674,                0.85343,             0.00020372,             0.00020372,             0.00020372
                     18,                0.73137,                0.51943,                0.85254,                0.84074,                0.69581,                0.76578,                0.60583,                0.73582,                 0.5343,                0.85047,              0.0001817,              0.0001817,              0.0001817
                     19,                0.70563,                0.49858,                 0.8464,                 0.8583,                0.66746,                0.76303,                0.60825,                0.72268,                0.52215,                0.84537,             0.00015968,             0.00015968,             0.00015968
                     20,                0.69581,                0.47482,                0.84545,                0.86302,                0.67003,                0.76363,                0.60781,                 0.7252,                0.51823,                 0.8439,             0.00013767,             0.00013767,             0.00013767
                     21,                0.67888,                0.46284,                0.83893,                0.84574,                0.70266,                0.77139,                0.61462,                0.71896,                 0.5079,                0.84265,             0.00011565,             0.00011565,             0.00011565
                     22,                 0.6711,                0.44017,                0.83623,                0.85601,                0.70809,                0.78499,                0.63414,                0.68403,                0.47798,                0.83808,              9.363e-05,              9.363e-05,              9.363e-05
                     23,                0.65031,                0.43052,                0.83221,                0.85723,                0.70783,                0.78206,                0.62919,                0.68419,                0.47175,                 0.8362,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     24,                0.64089,                0.42125,                0.83265,                0.84145,                0.72906,                0.78881,                 0.6385,                0.66954,                0.45823,                0.83303,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     25,                0.63496,                 0.4108,                0.83221,                0.87638,                 0.7145,                0.78809,                0.64105,                0.65859,                0.45295,                0.83286,             2.7578e-05,             2.7578e-05,             2.7578e-05
