                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1552,                 1.8505,                0.97303,                0.50526,                0.45331,                 0.4341,                0.31779,                0.99004,                 1.2039,                0.89169,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.0795,                 1.2491,                0.94488,                0.61261,                0.50157,                0.51971,                0.37414,                 1.0247,                 1.0394,                0.90367,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.0718,                 1.1538,                0.94886,                0.54974,                0.54802,                  0.544,                0.38176,                 1.0634,                      1,                0.90851,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.0466,                 1.0677,                0.93836,                0.69422,                0.55878,                 0.6033,                0.44522,                0.93782,                0.89899,                0.87999,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.0154,                0.99477,                0.93336,                0.70694,                0.53494,                0.60444,                0.43908,                0.96398,                0.87061,                0.88916,             0.00046793,             0.00046793,             0.00046793
                      6,                 0.9844,                0.93462,                0.92316,                0.72268,                0.54263,                  0.622,                0.46143,                0.90237,                0.84964,                0.87407,             0.00044591,             0.00044591,             0.00044591
                      7,                 0.9497,                0.86614,                0.91466,                0.67933,                0.60405,                0.64517,                0.48251,                0.90645,                0.77767,                0.87403,             0.00042389,             0.00042389,             0.00042389
                      8,                0.92368,                0.83457,                0.90449,                0.74593,                0.60935,                0.67795,                0.51706,                0.87015,                0.72108,                0.86911,             0.00040188,             0.00040188,             0.00040188
                      9,                0.90585,                0.79202,                0.89914,                0.80737,                0.60294,                0.69378,                0.52872,                0.85687,                0.69248,                0.86154,             0.00037986,             0.00037986,             0.00037986
                     10,                0.89676,                0.77884,                0.89626,                0.78854,                0.59793,                0.69374,                0.53314,                0.82634,                0.67409,                0.85475,             0.00035784,             0.00035784,             0.00035784
                     11,                0.86796,                0.74577,                0.88822,                0.79142,                0.64887,                0.71944,                0.55482,                0.83014,                0.64783,                0.85241,             0.00033582,             0.00033582,             0.00033582
                     12,                 0.8548,                0.70906,                0.88537,                0.77074,                0.64788,                0.71528,                0.55491,                0.80202,                0.64067,                0.84556,             0.00031381,             0.00031381,             0.00031381
                     13,                 0.8374,                0.69159,                 0.8806,                0.80448,                0.65316,                0.73094,                  0.562,                0.80985,                0.61433,                 0.8485,             0.00029179,             0.00029179,             0.00029179
                     14,                0.82637,                0.67248,                0.87978,                0.81034,                 0.6303,                0.71698,                0.55101,                0.80963,                0.63942,                0.85029,             0.00026977,             0.00026977,             0.00026977
                     15,                0.80969,                0.64316,                0.87561,                0.82509,                  0.664,                 0.7439,                0.58232,                0.76764,                0.57244,                  0.844,             0.00024775,             0.00024775,             0.00024775
                     16,                 0.7757,                0.58126,                0.84928,                0.82012,                0.64508,                0.73379,                0.57376,                0.79034,                0.58993,                0.84694,             0.00022574,             0.00022574,             0.00022574
                     17,                0.76286,                0.56503,                0.84733,                0.79954,                0.66444,                0.74124,                0.57322,                0.78516,                0.58748,                0.84601,             0.00020372,             0.00020372,             0.00020372
                     18,                0.75345,                0.54728,                0.84571,                0.82941,                0.67414,                0.75406,                0.58918,                 0.7568,                0.55533,                0.84157,              0.0001817,              0.0001817,              0.0001817
                     19,                0.73334,                0.52236,                0.84097,                0.83232,                0.67316,                0.76024,                0.59841,                0.74675,                0.54032,                0.83997,             0.00015968,             0.00015968,             0.00015968
                     20,                0.71395,                0.50221,                0.83919,                 0.8346,                0.69093,                0.76933,                0.60837,                0.73775,                0.52046,                0.83505,             0.00013767,             0.00013767,             0.00013767
                     21,                0.70288,                0.48356,                0.83346,                0.87175,                0.66219,                0.76601,                0.60749,                 0.7274,                0.52522,                0.83276,             0.00011565,             0.00011565,             0.00011565
                     22,                0.69409,                0.46839,                0.82943,                0.84197,                0.70169,                0.77471,                0.61478,                0.72398,                0.51412,                0.83182,              9.363e-05,              9.363e-05,              9.363e-05
                     23,                0.67576,                0.45585,                0.82894,                 0.8493,                0.70255,                0.77747,                0.62179,                0.72049,                0.49541,                0.83172,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     24,                 0.6692,                0.44486,                0.82828,                0.84035,                0.70591,                 0.7791,                  0.625,                0.69457,                0.48951,                0.82716,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     25,                 0.6629,                0.43833,                0.82553,                0.84443,                0.70752,                0.78194,                0.62994,                0.68706,                0.48099,                0.82617,             2.7578e-05,             2.7578e-05,             2.7578e-05
