                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5901,                 3.5167,                 1.0764,                0.25016,                0.21524,                0.14412,                0.08818,                 1.4412,                 2.1773,                0.95093,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.4411,                 2.0457,                 1.0066,                0.30087,                0.34019,                0.25792,                0.17144,                 1.2799,                   1.71,                0.93546,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.3364,                 1.7327,                0.98948,                0.45541,                0.37486,                0.34457,                0.24006,                 1.1787,                 1.4696,                0.91627,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.2906,                 1.5492,                0.97329,                 0.4754,                0.40058,                0.37368,                0.26203,                 1.1848,                 1.4054,                0.91162,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.2362,                  1.464,                0.96028,                0.50777,                0.43085,                0.43045,                0.30965,                 1.1063,                 1.2756,                0.89767,             0.00046793,             0.00046793,             0.00046793
                      6,                 1.2088,                 1.3768,                0.95445,                0.52887,                 0.4585,                 0.4516,                0.32491,                 1.0898,                 1.2161,                0.89539,             0.00044591,             0.00044591,             0.00044591
                      7,                 1.1855,                 1.2999,                 0.9498,                0.54369,                0.45794,                0.48325,                0.34766,                 1.0768,                 1.1987,                0.89827,             0.00042389,             0.00042389,             0.00042389
                      8,                 1.1631,                 1.2562,                0.94228,                0.61313,                0.46906,                  0.495,                0.36147,                 1.0471,                 1.1162,                 0.8872,             0.00040188,             0.00040188,             0.00040188
                      9,                 1.1387,                 1.1947,                0.93432,                0.61025,                0.50313,                0.51886,                 0.3811,                 1.0207,                   1.05,                0.88332,             0.00037986,             0.00037986,             0.00037986
                     10,                 1.1281,                 1.1696,                0.93096,                 0.6579,                0.49966,                0.53132,                0.39066,                 1.0221,                 1.0148,                0.88568,             0.00035784,             0.00035784,             0.00035784
                     11,                  1.104,                 1.1393,                0.92488,                0.61796,                0.50555,                0.54214,                0.40068,                 1.0134,                0.99174,                0.88025,             0.00033582,             0.00033582,             0.00033582
                     12,                 1.0899,                 1.1035,                0.92195,                 0.6531,                0.52484,                0.55543,                0.41101,                0.99852,                 0.9613,                0.87641,             0.00031381,             0.00031381,             0.00031381
                     13,                 1.0748,                 1.0684,                0.91486,                0.65486,                0.53016,                0.56323,                0.41999,                0.99448,                 0.9348,                0.87493,             0.00029179,             0.00029179,             0.00029179
                     14,                 1.0585,                 1.0561,                0.91446,                0.67657,                0.53823,                 0.5662,                0.42302,                0.96773,                0.94257,                0.87242,             0.00026977,             0.00026977,             0.00026977
                     15,                 1.0494,                 1.0193,                0.91289,                0.74668,                0.50128,                0.58379,                0.43254,                0.96218,                0.88569,                0.87069,             0.00024775,             0.00024775,             0.00024775
                     16,                0.99433,                0.96307,                0.88257,                0.71581,                0.50649,                0.57565,                0.42863,                 0.9737,                 0.9164,                0.87438,             0.00022574,             0.00022574,             0.00022574
                     17,                0.97783,                0.90903,                0.88133,                0.68938,                0.54849,                 0.5985,                0.44889,                0.95697,                0.86693,                0.86866,             0.00020372,             0.00020372,             0.00020372
                     18,                0.96608,                0.88146,                0.87905,                0.70648,                0.54079,                0.59674,                0.45148,                0.94254,                0.85162,                0.86854,              0.0001817,              0.0001817,              0.0001817
                     19,                0.95129,                0.85461,                 0.8743,                0.70965,                0.56175,                0.61199,                0.46525,                0.92901,                0.82383,                0.86366,             0.00015968,             0.00015968,             0.00015968
                     20,                0.93701,                0.82636,                0.87369,                0.69704,                0.54751,                0.61595,                0.46478,                0.92863,                0.83128,                0.86305,             0.00013767,             0.00013767,             0.00013767
                     21,                0.92684,                0.80739,                0.86984,                0.70182,                0.57781,                0.62393,                0.47569,                0.91725,                0.80691,                0.86178,             0.00011565,             0.00011565,             0.00011565
                     22,                0.92117,                0.79542,                0.86799,                 0.7125,                0.55956,                0.62333,                0.47605,                0.91098,                0.80632,                0.85995,              9.363e-05,              9.363e-05,              9.363e-05
                     23,                0.90101,                0.77276,                0.86296,                0.70638,                0.59079,                0.63898,                0.48982,                0.90506,                0.76907,                0.86023,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     24,                0.89462,                0.77228,                0.86185,                0.73578,                0.57372,                 0.6417,                0.48927,                 0.8979,                0.76902,                0.85721,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     25,                0.89765,                0.75885,                0.86022,                0.75269,                0.56795,                0.63938,                0.49296,                0.89319,                  0.758,                0.85668,             2.7578e-05,             2.7578e-05,             2.7578e-05
