                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3194,                 2.2186,                 1.0144,                0.46254,                0.34474,                0.33765,                0.23318,                 1.1598,                 1.4152,                0.92002,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.1818,                 1.4221,                0.95947,                0.54765,                0.43662,                0.44205,                0.30752,                 1.1294,                 1.1653,                0.91399,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.1465,                 1.2767,                 0.9539,                0.54404,                 0.4806,                0.49495,                0.34656,                 1.1027,                 1.1145,                0.90185,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.1189,                 1.1462,                0.93962,                0.63973,                0.47333,                0.52039,                0.37835,                 1.0437,                 1.0349,                 0.8943,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.0865,                 1.1056,                0.93524,                0.64193,                0.52298,                0.55614,                0.40594,                0.98934,                0.93305,                0.87869,             0.00046793,             0.00046793,             0.00046793
                      6,                 1.0491,                 1.0293,                0.92475,                0.61405,                0.54114,                0.58337,                0.43243,                 0.9772,                0.87464,                0.87933,             0.00044591,             0.00044591,             0.00044591
                      7,                 1.0258,                0.96019,                0.91902,                0.66528,                0.55789,                0.61007,                0.45153,                0.94194,                 0.8291,                0.87009,             0.00042389,             0.00042389,             0.00042389
                      8,                0.99772,                0.92011,                0.90985,                0.70207,                0.55925,                0.61255,                0.45689,                0.93728,                0.84229,                0.87004,             0.00040188,             0.00040188,             0.00040188
                      9,                0.98493,                 0.8877,                0.90349,                0.71681,                 0.6003,                0.65516,                0.49374,                0.90729,                0.77419,                0.86171,             0.00037986,             0.00037986,             0.00037986
                     10,                0.97006,                0.86031,                0.90149,                0.77372,                0.57155,                0.65306,                0.49238,                0.88592,                0.75071,                0.86037,             0.00035784,             0.00035784,             0.00035784
                     11,                0.95071,                0.83324,                0.89466,                0.80414,                0.56078,                0.66486,                0.50312,                 0.8889,                0.72572,                0.85849,             0.00033582,             0.00033582,             0.00033582
                     12,                0.92787,                0.79505,                0.89132,                 0.7528,                0.59015,                 0.6666,                0.50964,                0.87051,                0.72882,                 0.8554,             0.00031381,             0.00031381,             0.00031381
                     13,                0.92285,                0.78782,                0.88909,                0.77531,                0.60195,                0.68517,                0.52367,                   0.88,                0.69885,                0.85529,             0.00029179,             0.00029179,             0.00029179
                     14,                0.90064,                0.76529,                0.88557,                 0.8146,                 0.5849,                0.67962,                0.52209,                0.84818,                 0.7106,                0.85063,             0.00026977,             0.00026977,             0.00026977
                     15,                0.88785,                0.73232,                0.88151,                0.77114,                 0.6238,                0.69966,                 0.5445,                0.83566,                 0.6594,                0.84791,             0.00024775,             0.00024775,             0.00024775
                     16,                 0.8517,                0.67768,                0.85788,                0.80738,                0.60688,                0.69875,                0.53366,                0.85047,                0.66855,                0.85226,             0.00022574,             0.00022574,             0.00022574
                     17,                0.83772,                0.64316,                0.85614,                0.79492,                0.63756,                0.71146,                0.54864,                0.83578,                0.63433,                0.84917,             0.00020372,             0.00020372,             0.00020372
                     18,                0.82813,                0.62667,                 0.8526,                0.85319,                0.59523,                0.71067,                0.54996,                0.82819,                0.63517,                0.84997,              0.0001817,              0.0001817,              0.0001817
                     19,                0.81299,                 0.5981,                 0.8489,                0.83488,                 0.6194,                0.71631,                0.55742,                0.82015,                0.62555,                0.84715,             0.00015968,             0.00015968,             0.00015968
                     20,                0.79846,                0.57805,                0.84907,                0.82357,                0.63382,                0.72508,                0.56308,                0.81203,                0.60549,                0.84429,             0.00013767,             0.00013767,             0.00013767
                     21,                0.78339,                0.57009,                0.84328,                0.82087,                0.65741,                0.73019,                0.56691,                0.80303,                0.59061,                0.84459,             0.00011565,             0.00011565,             0.00011565
                     22,                0.77422,                  0.544,                0.84045,                0.80481,                0.64682,                 0.7276,                0.57148,                0.78276,                0.59812,                0.84067,              9.363e-05,              9.363e-05,              9.363e-05
                     23,                0.75792,                0.53453,                0.83661,                0.82924,                0.65874,                0.73692,                0.57517,                0.78986,                0.57364,                0.84125,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     24,                0.74446,                0.52623,                 0.8349,                0.84547,                0.64858,                 0.7388,                0.57877,                0.77123,                0.55982,                0.83857,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     25,                 0.7446,                0.51705,                0.83491,                0.85048,                0.64844,                0.74235,                0.58334,                0.76553,                0.55152,                0.83699,             2.7578e-05,             2.7578e-05,             2.7578e-05
