                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5462,                 3.2405,                 1.0555,                0.26106,                0.24293,                0.16436,                0.10581,                 1.3898,                 1.9832,                0.94158,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.3914,                 1.9213,                0.99366,                0.36214,                0.32437,                0.28777,                0.19234,                  1.248,                 1.5843,                0.93554,              0.0003551,              0.0003551,              0.0003551
                      3,                  1.296,                 1.6615,                 0.9813,                 0.4446,                0.41396,                0.37065,                0.25229,                 1.2006,                 1.4108,                0.92752,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.2643,                 1.4748,                0.97141,                0.44821,                0.41424,                0.38674,                0.26587,                 1.1811,                 1.3748,                0.92208,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.2151,                 1.4127,                0.96008,                0.56663,                0.44294,                0.46399,                0.33603,                 1.0896,                 1.1966,                0.90057,             0.00046793,             0.00046793,             0.00046793
                      6,                 1.1791,                 1.3208,                0.95037,                 0.5658,                0.44572,                0.46303,                0.33833,                 1.0617,                 1.1867,                0.89947,             0.00044591,             0.00044591,             0.00044591
                      7,                 1.1527,                 1.2442,                0.94497,                0.56227,                  0.488,                0.49773,                0.35607,                 1.0581,                 1.1425,                0.89829,             0.00042389,             0.00042389,             0.00042389
                      8,                 1.1233,                 1.1934,                0.93661,                0.60536,                0.50546,                0.53093,                0.38786,                 1.0285,                 1.0551,                0.89198,             0.00040188,             0.00040188,             0.00040188
                      9,                 1.1043,                 1.1292,                0.92986,                0.68652,                0.50781,                0.54563,                0.40053,                  1.012,                0.97195,                0.88291,             0.00037986,             0.00037986,             0.00037986
                     10,                 1.1019,                 1.1181,                0.92647,                0.64464,                0.52428,                0.54985,                0.40685,                 0.9961,                 0.9941,                0.87926,             0.00035784,             0.00035784,             0.00035784
                     11,                 1.0713,                 1.0815,                0.92017,                   0.61,                 0.5275,                 0.5658,                0.42012,                0.99474,                0.95649,                0.88025,             0.00033582,             0.00033582,             0.00033582
                     12,                 1.0553,                 1.0448,                 0.9163,                0.69142,                 0.5436,                0.57639,                0.43306,                0.97004,                 0.9185,                0.87431,             0.00031381,             0.00031381,             0.00031381
                     13,                 1.0498,                 1.0192,                0.91222,                 0.7308,                0.51061,                0.58887,                0.43938,                0.97116,                0.88929,                0.87513,             0.00029179,             0.00029179,             0.00029179
                     14,                 1.0244,                0.99253,                0.90953,                0.69731,                0.54102,                0.59714,                0.44809,                0.95136,                0.87562,                0.87139,             0.00026977,             0.00026977,             0.00026977
                     15,                 1.0174,                0.95835,                0.90561,                0.69225,                0.54605,                0.60533,                0.46004,                0.92045,                0.84357,                0.86513,             0.00024775,             0.00024775,             0.00024775
                     16,                0.97298,                0.91262,                0.87955,                0.71898,                0.54831,                0.60545,                 0.4533,                0.94877,                0.85544,                0.87192,             0.00022574,             0.00022574,             0.00022574
                     17,                0.95153,                0.85372,                0.87708,                0.71772,                0.55293,                0.61288,                0.46275,                0.94227,                0.83472,                0.86753,             0.00020372,             0.00020372,             0.00020372
                     18,                0.94267,                0.84083,                0.87354,                0.75064,                0.54854,                0.62215,                0.47085,                0.92008,                0.79909,                0.86504,              0.0001817,              0.0001817,              0.0001817
                     19,                0.92734,                 0.8112,                0.87033,                0.77311,                0.55314,                0.64067,                0.48128,                0.91839,                0.78199,                0.86365,             0.00015968,             0.00015968,             0.00015968
                     20,                0.90866,                 0.7866,                 0.8685,                0.78822,                0.54922,                0.64458,                 0.4906,                0.91068,                 0.7602,                0.86125,             0.00013767,             0.00013767,             0.00013767
                     21,                0.89747,                  0.764,                0.86336,                0.74868,                 0.5782,                0.64167,                0.49071,                0.90194,                0.75886,                0.85969,             0.00011565,             0.00011565,             0.00011565
                     22,                0.89166,                0.74508,                0.86092,                0.71424,                0.58373,                 0.6437,                0.49065,                0.89566,                0.75866,                0.85794,              9.363e-05,              9.363e-05,              9.363e-05
                     23,                0.87432,                0.73322,                0.85643,                0.77052,                0.58572,                0.65956,                0.50526,                0.88535,                0.71997,                0.85747,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     24,                0.87081,                0.71884,                0.85724,                0.78775,                0.57015,                0.65739,                0.50538,                0.87344,                0.72363,                0.85481,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     25,                0.86771,                0.71727,                0.85636,                0.77123,                0.57716,                0.66114,                0.50855,                0.87317,                0.71421,                0.85532,             2.7578e-05,             2.7578e-05,             2.7578e-05
