                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95498,                 1.5759,                  0.958,                0.35737,                0.46689,                0.33937,                0.24327,                0.92999,                 6.6565,                0.91249,             0.00018441,             0.00018441,             0.00018441
                      2,                0.96106,                 1.0427,                0.95091,                 0.6926,                0.43964,                 0.5065,                0.38046,                0.88867,                 1.0003,                0.91075,              0.0003551,              0.0003551,              0.0003551
                      3,                0.98642,                  1.026,                0.96356,                0.64785,                0.52401,                0.57996,                0.43271,                0.90316,                0.94237,                0.91656,             0.00051111,             0.00051111,             0.00051111
                      4,                0.95381,                0.94377,                0.96066,                 0.6029,                0.51189,                0.54155,                0.39642,                0.89885,                 1.0289,                0.92296,             0.00048995,             0.00048995,             0.00048995
                      5,                0.93387,                0.90153,                0.94892,                0.69853,                0.55958,                0.61277,                0.47197,                0.85961,                0.78288,                0.90157,             0.00048995,             0.00048995,             0.00048995
                      6,                0.90809,                0.83892,                0.93993,                0.70576,                0.57607,                0.62531,                0.48501,                0.82114,                0.77515,                0.89018,             0.00046793,             0.00046793,             0.00046793
                      7,                0.87873,                  0.793,                0.93324,                0.77711,                0.58868,                0.68465,                0.53303,                0.79741,                0.68342,                 0.8821,             0.00044591,             0.00044591,             0.00044591
                      8,                0.85262,                0.74303,                0.92073,                0.75448,                  0.631,                0.69747,                0.54695,                0.78595,                0.62055,                0.87772,             0.00042389,             0.00042389,             0.00042389
                      9,                0.83268,                0.69735,                0.92271,                0.71325,                0.64763,                 0.6852,                0.53122,                0.78231,                0.64365,                0.87882,             0.00040188,             0.00040188,             0.00040188
                     10,                0.82219,                0.67731,                0.91038,                0.83786,                0.64783,                0.73378,                0.58553,                 0.7212,                0.52398,                0.86802,             0.00037986,             0.00037986,             0.00037986
                     11,                0.77283,                0.62793,                0.90166,                0.85145,                0.63297,                0.73385,                0.58696,                0.71712,                0.54742,                0.86357,             0.00035784,             0.00035784,             0.00035784
                     12,                0.77429,                0.60886,                0.90381,                0.84008,                0.67938,                0.75411,                  0.608,                0.70483,                0.49932,                0.85869,             0.00033582,             0.00033582,             0.00033582
                     13,                0.74286,                0.56633,                0.89286,                0.84238,                0.63912,                0.74352,                0.59392,                0.72081,                0.51012,                0.86215,             0.00031381,             0.00031381,             0.00031381
                     14,                0.72738,                0.54607,                0.88666,                0.88286,                 0.6654,                 0.7665,                0.61807,                0.68654,                0.47121,                0.85674,             0.00029179,             0.00029179,             0.00029179
                     15,                0.72131,                0.54055,                  0.892,                0.83995,                0.65987,                0.74383,                0.61038,                0.66122,                0.49297,                0.84629,             0.00026977,             0.00026977,             0.00026977
                     16,                0.68621,                0.47395,                0.86183,                0.83703,                0.68478,                0.76099,                0.61588,                0.68122,                0.48123,                0.85224,             0.00024775,             0.00024775,             0.00024775
                     17,                0.67418,                0.45779,                 0.8544,                0.87581,                0.69875,                0.78133,                0.63505,                0.68124,                0.45282,                0.85124,             0.00022574,             0.00022574,             0.00022574
                     18,                0.65459,                0.44331,                 0.8522,                0.88079,                0.68752,                0.78188,                0.63584,                0.66928,                0.44312,                0.85333,             0.00020372,             0.00020372,             0.00020372
                     19,                0.65492,                0.43204,                 0.8572,                0.86608,                0.69578,                0.77827,                0.63639,                0.66257,                0.45511,                0.84634,              0.0001817,              0.0001817,              0.0001817
                     20,                 0.6303,                0.41945,                0.84672,                 0.8593,                0.71698,                0.78494,                 0.6404,                0.65448,                0.43137,                0.84184,             0.00015968,             0.00015968,             0.00015968
                     21,                0.60802,                 0.3946,                 0.8432,                0.87992,                0.71592,                0.79256,                0.64648,                0.64233,                0.42623,                0.84368,             0.00013767,             0.00013767,             0.00013767
                     22,                0.61167,                0.38673,                0.84137,                0.90321,                0.70757,                0.79988,                 0.6557,                0.63152,                0.40293,                0.84265,             0.00011565,             0.00011565,             0.00011565
                     23,                0.58957,                0.36805,                0.83414,                0.87815,                0.72179,                0.80085,                0.66237,                0.61669,                0.39331,                0.84182,              9.363e-05,              9.363e-05,              9.363e-05
                     24,                0.58146,                0.35737,                0.83157,                0.86023,                0.72954,                0.80595,                0.66871,                0.60857,                0.38203,                0.84005,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     25,                0.56696,                0.34101,                0.82872,                0.90803,                0.72052,                0.80881,                0.67142,                0.60113,                0.37623,                 0.8362,             4.9595e-05,             4.9595e-05,             4.9595e-05
