                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2207,                 2.0837,                0.98296,                0.46537,                0.42249,                0.38373,                0.27528,                 1.0646,                 1.2217,                0.89813,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.1084,                  1.301,                0.94127,                0.56162,                0.48043,                0.48601,                0.34504,                 1.0605,                 1.1128,                0.89545,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.0979,                 1.1793,                0.94039,                0.63848,                0.50433,                 0.5457,                0.38719,                 1.0535,                 1.0005,                0.90363,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.0627,                 1.0818,                0.93192,                0.63032,                0.49139,                0.54885,                0.40069,                 0.9964,                 1.0021,                0.88466,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.0421,                  1.029,                0.92195,                0.68332,                 0.5214,                0.58844,                0.43133,                0.96336,                0.91062,                0.87402,             0.00048995,             0.00048995,             0.00048995
                      6,                 1.0011,                0.95531,                0.91028,                0.67837,                0.57283,                0.61401,                0.45422,                0.94394,                0.84359,                0.86983,             0.00046793,             0.00046793,             0.00046793
                      7,                0.99135,                0.93241,                0.91129,                0.71299,                0.53607,                0.60958,                  0.457,                0.92068,                0.82552,                0.86741,             0.00044591,             0.00044591,             0.00044591
                      8,                0.97783,                0.90561,                0.90556,                0.72743,                 0.5759,                0.64344,                0.48514,                0.90292,                0.79789,                0.86435,             0.00042389,             0.00042389,             0.00042389
                      9,                0.95399,                0.85137,                0.89751,                0.76857,                0.56797,                0.66182,                0.49744,                0.88661,                0.75469,                0.85584,             0.00040188,             0.00040188,             0.00040188
                     10,                0.92605,                0.82133,                0.89117,                0.78907,                0.58725,                0.67401,                0.50974,                 0.8614,                0.72147,                0.85455,             0.00037986,             0.00037986,             0.00037986
                     11,                0.90983,                0.78687,                0.89042,                0.77718,                0.59716,                0.68544,                  0.523,                0.86137,                0.70854,                0.85519,             0.00035784,             0.00035784,             0.00035784
                     12,                0.90497,                0.78109,                0.88842,                 0.7692,                 0.6222,                 0.7025,                0.53579,                0.83156,                0.68657,                0.84614,             0.00033582,             0.00033582,             0.00033582
                     13,                0.89176,                0.75257,                0.88126,                0.81921,                0.61971,                0.71482,                 0.5423,                0.85294,                0.65216,                0.84948,             0.00031381,             0.00031381,             0.00031381
                     14,                0.87526,                0.73183,                0.88089,                0.81022,                0.62497,                0.71889,                0.55015,                0.81982,                0.64503,                0.84738,             0.00029179,             0.00029179,             0.00029179
                     15,                0.86711,                0.71204,                0.87826,                0.82505,                0.62083,                0.71309,                0.54918,                0.80426,                0.62899,                0.84425,             0.00026977,             0.00026977,             0.00026977
                     16,                0.82859,                0.64335,                0.84971,                0.79194,                0.63789,                0.70688,                0.53382,                0.84584,                0.64758,                0.84913,             0.00024775,             0.00024775,             0.00024775
                     17,                0.81737,                0.62553,                0.85244,                0.83632,                0.63714,                0.72989,                  0.562,                0.80714,                0.61382,                0.84505,             0.00022574,             0.00022574,             0.00022574
                     18,                0.79724,                0.60815,                0.84958,                0.80439,                0.66499,                0.72944,                0.56226,                0.80595,                0.60932,                0.84172,             0.00020372,             0.00020372,             0.00020372
                     19,                0.78465,                0.59689,                0.84295,                0.82607,                0.63917,                0.73648,                0.56992,                0.78882,                0.59611,                0.84101,              0.0001817,              0.0001817,              0.0001817
                     20,                 0.7759,                0.57921,                0.84065,                 0.7887,                 0.6602,                0.73445,                0.56824,                0.78972,                0.59114,                0.83946,             0.00015968,             0.00015968,             0.00015968
                     21,                0.76304,                0.56315,                0.83954,                0.79299,                0.68263,                0.74606,                0.57991,                0.77412,                0.56812,                0.83932,             0.00013767,             0.00013767,             0.00013767
                     22,                0.75666,                0.54189,                0.83685,                 0.8647,                0.66317,                0.75504,                0.58994,                0.76025,                0.55231,                0.83452,             0.00011565,             0.00011565,             0.00011565
                     23,                0.73506,                0.51813,                0.83239,                0.83911,                0.67634,                0.75277,                0.58849,                0.75686,                 0.5439,                0.83516,              9.363e-05,              9.363e-05,              9.363e-05
                     24,                 0.7258,                0.50253,                0.83329,                0.82974,                0.69193,                0.75993,                0.59404,                0.75099,                 0.5377,                0.83379,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     25,                0.72046,                0.50288,                0.83248,                0.85239,                0.67903,                0.76214,                0.59852,                0.73758,                0.52265,                0.83263,             4.9595e-05,             4.9595e-05,             4.9595e-05
