                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4217,                 3.1394,                 1.0098,                 0.2089,                0.29745,                0.20193,                 0.1328,                 1.2396,                 1.8134,                0.91302,             0.00018441,             0.00018441,             0.00018441
                      2,                 1.2891,                 1.8112,                0.96771,                0.37073,                0.37801,                0.30335,                0.20367,                 1.1761,                 1.6126,                0.91534,              0.0003551,              0.0003551,              0.0003551
                      3,                 1.2394,                 1.5861,                0.96116,                0.41117,                 0.4611,                0.39895,                0.28013,                 1.1148,                 1.3708,                0.89926,             0.00051111,             0.00051111,             0.00051111
                      4,                 1.1821,                 1.4247,                0.94932,                0.57346,                0.42858,                0.46806,                0.33945,                 1.0594,                 1.1737,                0.89495,             0.00048995,             0.00048995,             0.00048995
                      5,                 1.1572,                 1.3681,                0.95201,                0.53024,                0.47104,                0.45902,                0.32567,                 1.0556,                 1.2117,                0.89904,             0.00048995,             0.00048995,             0.00048995
                      6,                 1.1248,                 1.2515,                0.93584,                0.56561,                 0.5082,                0.49604,                0.35561,                 1.0559,                 1.1835,                0.89765,             0.00046793,             0.00046793,             0.00046793
                      7,                 1.0942,                 1.1886,                0.93696,                0.57424,                0.53473,                 0.5423,                 0.3948,                 0.9849,                 1.0772,                0.88232,             0.00044591,             0.00044591,             0.00044591
                      8,                 1.0885,                 1.1594,                 0.9245,                0.59799,                0.51851,                0.52036,                 0.3817,                0.99932,                 1.0481,                0.88233,             0.00042389,             0.00042389,             0.00042389
                      9,                 1.0597,                 1.0966,                0.91973,                 0.6773,                0.54439,                0.57038,                0.42014,                0.96064,                0.96811,                0.87743,             0.00040188,             0.00040188,             0.00040188
                     10,                  1.039,                 1.0797,                0.91766,                0.68494,                0.52577,                0.57824,                0.42806,                0.98678,                0.94402,                0.87665,             0.00037986,             0.00037986,             0.00037986
                     11,                 1.0333,                 1.0447,                0.91527,                0.68146,                0.53521,                0.59642,                0.44185,                0.93056,                0.90979,                0.87039,             0.00035784,             0.00035784,             0.00035784
                     12,                 1.0207,                0.99543,                0.91129,                0.70426,                  0.534,                0.58967,                0.44005,                0.93035,                0.91836,                0.86879,             0.00033582,             0.00033582,             0.00033582
                     13,                0.99442,                 0.9688,                0.90685,                0.69259,                0.56162,                0.60637,                0.45668,                0.90933,                0.87367,                0.86592,             0.00031381,             0.00031381,             0.00031381
                     14,                0.99392,                0.95579,                0.90755,                0.71124,                0.55169,                0.61493,                0.45904,                0.93305,                 0.8621,                0.86901,             0.00029179,             0.00029179,             0.00029179
                     15,                0.98918,                0.93801,                0.90276,                0.67723,                0.59267,                0.61967,                0.46645,                0.91206,                0.83694,                0.86359,             0.00026977,             0.00026977,             0.00026977
                     16,                0.91691,                0.86145,                0.87106,                0.73705,                0.54272,                0.62002,                0.46323,                0.90605,                0.84989,                0.86233,             0.00024775,             0.00024775,             0.00024775
                     17,                0.90615,                0.82343,                0.87189,                0.76609,                0.56113,                0.63912,                0.48812,                0.88094,                0.78793,                0.85905,             0.00022574,             0.00022574,             0.00022574
                     18,                0.89645,                0.80469,                0.86554,                0.76983,                0.57466,                0.65066,                0.49497,                0.88759,                0.76661,                0.85851,             0.00020372,             0.00020372,             0.00020372
                     19,                0.88227,                0.77225,                0.86335,                0.81376,                0.56466,                0.66216,                0.49992,                0.88412,                0.75007,                0.85739,              0.0001817,              0.0001817,              0.0001817
                     20,                0.86667,                0.75468,                0.86111,                0.80917,                0.57242,                0.66949,                0.50874,                0.88705,                0.75134,                0.85909,             0.00015968,             0.00015968,             0.00015968
                     21,                0.86156,                0.74247,                0.86117,                0.79941,                0.56908,                0.66306,                0.50477,                0.87065,                0.73981,                0.85605,             0.00013767,             0.00013767,             0.00013767
                     22,                0.83914,                0.71586,                0.85149,                0.83709,                0.57467,                0.68015,                0.52262,                0.85237,                0.70724,                  0.852,             0.00011565,             0.00011565,             0.00011565
                     23,                0.84369,                0.70529,                0.85057,                0.82275,                0.58315,                0.67938,                 0.5238,                0.84406,                0.69755,                0.85144,              9.363e-05,              9.363e-05,              9.363e-05
                     24,                 0.8318,                0.67751,                0.84938,                0.81858,                0.59794,                 0.6855,                 0.5294,                0.83593,                0.68598,                0.85126,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     25,                0.82441,                  0.675,                0.84696,                0.79552,                0.60172,                0.68611,                0.52874,                  0.834,                0.67768,                0.84927,             4.9595e-05,             4.9595e-05,             4.9595e-05
